icd_code,root
V4950XA,V49
M9951,M99
M25511,M25
M25531,M25
Z9049,Z90
Z98890,Z98
Z751,Z75
K2970,K29
T39395A,T39
R110,R11
E1022,E10
E1040,E10
K3184,K31
M341,M34
E10319,E10
Z940,Z94
R402412,R40
Z95818,Z95
K869,K86
E1043,E10
T8612,T86
E1051,E10
I161,I16
E1065,E10
E10649,E10
Z9111,Z91
Y830,Y83
L03213,L03
T8619,T86
N2581,N25
E103593,E10
E10610,E10
D703,D70
H25013,H25
H4311,H43
N318,N31
A4152,A41
L97118,L97
E1021,E10
H548,H54
I5041,I50
I63421,I63
I6312,I63
G40801,G40
N3000,N30
K551,K55
D8982,D89
R7989,R79
K920,K92
D6861,D68
R8299,R82
O2403,O24
O904,O90
E103299,E10
O8601,O86
S2231XA,S22
S060X9A,S06
V475XXA,V47
Y92410,Y92
S0011XA,S00
J95812,J95
E782,E78
E1329,E13
R471,R47
I308,I30
Z8781,Z87
L930,L93
Z8639,Z86
1551,C22
44329,I73
1985,C79
99749,
E8708,
70400,L65
2410,E04
79021,R78
A09,A09
Z6842,Z68
B961,B96
T502X5A,T50
Y92099,Y92
J029,J02
K635,K63
K5730,K57
N529,N52
45385,I82
45381,I82
7885,N23
9349,T17
07989,B97
25082,E11
78602,R06
V5865,Z51
78606,R06
33385,
E9479,
V1351,Z87
7842,G44
E9429,
V5412,Z51
G2401,G24
T43595A,T43
1987,C79
1968,C77
70722,L89
V1042,Z85
I2101,I21
I4510,I45
I50811,I50
I700,I70
Z8719,Z87
I63131,I63
I63411,I63
I82431,I82
I82441,I82
R414,R41
I672,I67
C220,C22
M47896,M47
G8918,G89
53541,K29
45621,I85
E9359,
7892,R10
20410,C91
99685,T82
27950,D80
73342,M81
28803,D70
E9331,
4801,J12
4847,B25
4846,B25
1173,
1179,
20412,C91
V4281,
2830,D59
28730,D69
V167,Z80
V180,Z83
71696,M12
T17820A,T17
I468,I46
F250,F25
Y92128,Y92
C9200,C92
A4150,A41
L03114,L03
D849,D84
Z1624,Z16
K521,K52
L982,L98
J320,J32
E804,E80
B441,B44
B59,B59
D89813,D89
Z9484,Z94
C92Z0,C92
R042,R04
D709,D70
Z9012,Z90
87364,S01
80610,S14
8744,S11
87365,S01
E9550,
27541,E83
T8383XA,T83
Y846,Y84
80703,S22
80502,S12
81100,S42
5848,N17
7845,G44
E9317,
32727,G47
9051,S02
E9293,
07030,B15
7590,Q89
I2692,I26
R932,R93
E1121,E11
042,B20
48239,J15
K8522,K85
K651,K65
K863,K86
J8281,J82
K632,K63
I82411,I82
J8282,J82
Z6830,Z68
J702,J70
I352,I35
I6319,I63
I97820,I97
Z6831,Z68
H53462,H53
R29706,R29
4928,J43
56081,K56
3439,G80
319,F79
5609,K56
S065X7A,S06
I82612,I82
G40901,G40
S06357A,S06
N200,N20
Z85810,Z85
Q525,Q52
25022,E11
61650,N72
6273,N92
1419,C01
2989,
V1001,Z85
7260,M75
5559,K50
7823,R20
V090,Z16
5370,K31
4561,I85
5187,J98
72889,M60
V7283,
E9347,
0382,A40
481,J13
T403X1A,T40
F11221,F11
G8220,G82
F19121,F19
T401X1A,T40
T405X1A,T40
S24103S,S24
W3400XS,W34
Z993,Z99
99662,T82
44020,I70
V4976,R68
V0980,Z16
B1910,B19
F3181,F31
F1920,F19
B356,B35
Z89511,Z89
53250,K26
5679,K67
85186,S06
I082,I08
J918,J91
H540,H54
I97620,I97
Z5331,Z53
T801XXA,T80
I808,I80
R4189,R41
R29717,R29
O1213,O12
O98513,O98
O99513,O99
O368330,O36
O99283,O99
Z3A32,Z3A
K859,K85
E5112,E51
K7010,K70
I8511,I85
K284,K28
K861,K86
R2232,R22
Z980,Z98
E512,E51
K633,K63
K6389,K63
K31819,K31
E8352,E83
M79602,M79
I82401,I82
R680,R68
E59,E59
E60,E60
D124,D12
Q2733,Q27
M7989,M79
1962,C77
E8700,
V1009,Z85
Z1621,Z16
Z1623,Z16
L89899,L89
L97529,L97
R159,R15
R748,R74
K5903,K59
T402X5A,T40
8220,S82
81101,S42
8910,S81
E8230,
87363,S01
R1115,R11
K644,K64
K648,K64
R8271,R82
T43621A,T43
K625,K62
N280,N28
F1910,F19
K7110,K71
N181,N18
K9171,K91
K913,K91
1550,C22
452,I81
27542,E83
E1110,E11
Z833,Z83
2777,E84
V8525,Z68
M5430,M54
I059,I05
M4806,M48
T363X5A,T36
I63419,I63
J36,J36
R066,R06
82020,S72
99676,T82
501,J61
7062,L70
28240,D58
3970,I07
E8796,
E0299,
E0009,
I872,I87
45342,I82
78831,N23
J151,J15
T82128A,T82
D8489,D84
D801,D80
M170,M17
36846,H53
V198,
M5104,M51
M4804,M48
D352,D35
E232,E23
E8989,E89
C711,C71
S270XXA,S27
S32511A,S32
S32039A,S32
S37892A,S37
S32591A,S32
S3219XA,S32
V0390XA,V03
S42001A,S42
S300XXA,S30
R768,R76
41051,I21
V169,Z80
I606,I60
I615,I61
L259,L25
R519,R51
I97120,I97
Y92530,Y92
I70203,I70
Q2543,Q25
M4807,M48
9352,T18
75981,Q89
29980,F84
K5721,K57
Z9689,Z96
J45998,J45
K91870,K91
T8143XA,T81
Z7682,Z76
R4781,R47
K830,K83
C250,C25
K831,K83
C784,C78
G908,G90
Y92019,Y92
Z96642,Z96
D735,D73
I4819,I48
N3020,N30
G309,G30
F0280,F02
Z85038,Z85
K5793,K57
I824Z2,I82
E8889,E88
K838,K83
L719,L71
H1089,H10
42979,I51
7863,R06
9992,T88
4148,I25
I96,I96
B377,B37
B49,B49
Z431,Z43
T43595S,T43
L89120,L89
D6489,D64
H16122,H16
E271,E27
B3789,B37
J9611,J96
K9423,K94
I998,I99
E032,E03
T8781,T87
Y835,Y83
C8338,C83
T80212A,T80
K254,K25
D519,D51
